link,college name,Estd,Rating,Review,facilities,image,Address,contact_no,website
https://collegedunia.com/college/5682-srishti-institute-of-art-design-and-technology-bangalore,"Srishti Institute of Art, Design and Technology, Bangalore",Private,"7.6,7.6",29 reviews,"Library,Laboratory,Medical,Auditorium,Hostel,Gym,Sports,Classrooms,Cafeteria,",https://images.collegedunia.com/public/college_data/images/appImage/5682_SCART_APP.jpg?w=1286&h=193&mode=stretch,"CA Site No. 21,5th Phase, KHB Colony,Yelahanka New Town, 
 Bangalore - 560064 
 Karnataka ,    India ",",080-49000800  ,    49000801  ,    49000802  ,    49000803  ,    49000804",http://srishti.ac.in
https://collegedunia.com/college/4165-seshadripuram-college-bangalore,"Seshadripuram College, Bangalore",Private,"8.1,8.1",45 reviews,"Sports,Medical,Cafeteria,Library,Auditorium,Hostel,Classrooms,Comp,Labs,",https://images.collegedunia.com/public/college_data/images/appImage/4165_SCB_New.jpg?w=1286&h=193&mode=stretch,"No. 27, Nagappa Street, Seshadripuram 
 Bangalore - 560020 
 Karnataka ,    India ",",Principal -  080-22955379  ,    Office -  22955354",http://www.spmcollege.ac.in/
https://collegedunia.com/college/7525-aecs-maruti-college-of-dental-sciences-and-research-centre-bangalore,"AECS Maruti College of Dental Sciences and Research Centre, Bangalore",Estd 1992,"7.3,7.3",1 reviews,"Library,Laboratory,Comp,Labs,Auditorium,Cafeteria,Medical,Hostel,",https://images.collegedunia.com/public/college_data/images/appImage/7525_1468840363A.E.C.s.jpg?w=1286&h=193&mode=stretch,"108 Hulimavu Tank Bund Road BTM 6th Stage, 1st Phase Off Bannerghatta Road 
 Bangalore - 560076 
 Karnataka ,    India ",",080-26583010,Principal -  9845074754",http://www.aecsgroup.in/institution/AECSMCDSRC/overview/
https://collegedunia.com/college/4712-sri-bhagawan-mahaveer-jain-college-evening-v-v-puram-campus-sbmjc-bangalore,"Sri Bhagawan Mahaveer Jain College (Evening), V V Puram Campus - [SBMJC], Bangalore","BU, Bangalore","7.4,7.4",50 reviews,"Medical,Library,Auditorium,Hostel,Comp,Labs,Sports,Cafeteria,Laboratory,Gym,Classrooms,",https://images.collegedunia.com/public/college_data/images/appImage/4712_Jain-College-VVPuram.jpg?w=1286&h=193&mode=stretch,"#91/2, Dr. A N Krishna Rao Road, V V Puram 
 Bangalore - 560004 
 Karnataka ,    India ",",080-26615246",http://www.jaincollege.ac.in/Campuses-all.htm
https://collegedunia.com/college/9650-faculty-of-pharmacy-m-s-ramaiah-university-of-applied-sciences-bangalore,"Faculty of Pharmacy, M. S. Ramaiah University of Applied Sciences, Bangalore",Estd 1992,"7.5,7.5",3 reviews,"Comp,Labs,Sports,Medical,Cafeteria,Laboratory,Library,Classrooms,Hostel,Transport,",https://images.collegedunia.com/public/college_data/images/appImage/9650_1469439033slider_1-608cc4668d50b4011fe5d4c61346c97a.jpg?w=1286&h=193&mode=stretch,"Gnanagangothri Campus, New BEL Road
MSR Nagar 
 Bangalore - 560054 
 Karnataka ,    India ",",080-45366677  ,    45366666",http://www.msruas.ac.in/academics/pharmacy
https://collegedunia.com/college/7586-dayanand-sagar-college-of-dental-sciences-bangalore,"Dayanand Sagar College of Dental Sciences, Bangalore",Estd 2009,"8.6,8.6",4 reviews,"Comp,Labs,Medical,Cafeteria,Library,Auditorium,Hostel,Sports,Gym,Laboratory,",https://images.collegedunia.com/public/college_data/images/appImage/7586_DSCDS_New.jpg?w=1286&h=193&mode=stretch,"Shavige Malleshwara Hills, Kumaraswamy Layout 
 Bangalore - 560078 
 Karnataka ,    India ",",080-26662226",http://dayanandasagar.edu/dscds/
https://collegedunia.com/college/10297-bangalore-medical-college-and-research-institute-bmcri-bangalore,"Bangalore Medical College and Research Institute - [BMCRI], Bangalore",Estd 1955,"8.4,8.4",22 reviews,"Library,Hostel,Medical,Gym,Sports,Laboratory,Cafeteria,Comp,Labs,Auditorium,",https://images.collegedunia.com/public/college_data/images/appImage/10297_banglore1.png?w=1286&h=193&mode=stretch,"Fort, K.R. Road, 
 Bangalore - 560002 
 Karnataka ,    India ",",080-26700810,8026700810  ,    9845249302",http://www.bmcri.org
https://collegedunia.com/college/28270-university-college-of-law-bangalore-university-bangalore,"University College of Law Bangalore University, Bangalore","BU, Bangalore","7.6,7.6",2 reviews,"Medical,Cafeteria,Library,Auditorium,",https://images.collegedunia.com/public/college_data/images/appImage/28270_UNIVERSITY OF LAW_APP.jpg?w=1286&h=193&mode=stretch,"University Law College & P.G.Department of Studies & Research in Law, Jnana Bharathi Campus 
 Bangalore - 560056 
 Karnataka ,    India ",",0802-2961172",http://bangaloreuniversity.ac.in/university-law-college/
https://collegedunia.com/college/8901-ms-ramaiah-college-of-law-msrcl-bangalore,"M.S. Ramaiah College of Law - [MSRCL], Bangalore",Estd 1995,"7.9,7.9",10 reviews,"Sports,Library,Medical,Auditorium,Hostel,Canteen,Comp,Labs,Banks,",https://images.collegedunia.com/public/college_data/images/appImage/8901_1443438395MSRCL_New.jpg?w=1286&h=193&mode=stretch,"MSRIT Campus, MSR Nagar, MSRIT Post 
 Bangalore - 560054 
 Karnataka ,    India ",",080-23602926  ,    23606909  ,    65708015",https://msrcl.org/
https://collegedunia.com/college/28190-kristu-jayanti-college-kjc-bangalore,"Kristu Jayanti College - [KJC], Bangalore",Estd 1999,"8.4,8.4",118 reviews,"Library,Hostel,Sports,Medical,Auditorium,Comp,Labs,Banks,Classrooms,Laboratory,Cafeteria,",https://images.collegedunia.com/public/college_data/images/appImage/1504500612cover.jpg?w=1286&h=193&mode=stretch,"K Narayanapura, Kothanur P.O, 
 Bangalore - 560077 
 Karnataka ,    India ",",080-28465611  ,    28465770  ,    28465353,9449451111",http://kristujayanti.edu.in/index.php
